pinyin_id,title,pinyin
597,㜛,nen
598,㜜,ao
599,㜝,an
600,㜞,qian
601,㜣,ran
602,㜤,shen
603,㜥,mai
604,㜦,han
605,㜧,yue
606,㜨,er
607,㜩,ao
608,㜪,xian
609,㜫,ma
610,㜭,dang
611,㜮,lan
612,㜰,yue
613,㜱,dong
614,㜲,weng
615,㜳,huai
616,㜴,meng
617,㜵,niao
618,㜶,fan
619,㜷,mi
620,㜸,nie
621,㜹,qu
622,㜺,zan
623,㜻,lian
624,㜼,zhi
625,㜽,zi
626,㜾,hai
627,㜿,xu
628,㝀,hao
629,㝁,xun
630,㝂,zhi
631,㝃,fan
632,㝄,chun
633,㝅,gou
634,㝇,chun
635,㝈,luan
636,㝉,zhu
637,㝊,shou
638,㝋,liao
639,㝌,jie
640,㝍,xie
641,㝎,ding
642,㝏,jie
643,㝐,rong
644,㝑,mang
645,㝓,ge
646,㝔,yao
647,㝕,ning
648,㝖,yi
649,㝗,lang
650,㝘,yong
651,㝙,yin
652,㝛,su
653,㝝,lin
654,㝞,ya
655,㝟,mao
656,㝠,ming
657,㝡,zui
658,㝢,yu
659,㝣,ye
660,㝤,gou
661,㝥,mi
662,㝦,jun
663,㝧,wen
664,㝩,kang
665,㝪,dian
666,㝫,long
667,㝬,hu
668,㝭,xing
669,㝮,cui
670,㝯,qiao
671,㝰,mian
672,㝱,meng
673,㝲,qin
674,㝴,wan
675,㝵,de
676,㝶,ai
677,㝸,bian
678,㝹,nou
679,㝺,lian
680,㝻,jin
681,㝼,yu
682,㝽,chui
683,㝾,zuo
684,㝿,bo
685,㞁,yao
686,㞂,tui
687,㞃,ji
688,㞅,guo
689,㞆,ji
690,㞇,wei
691,㞊,xu
692,㞋,nian
693,㞌,yun
694,㞎,ba
695,㞏,zhe
696,㞐,ju
697,㞑,wei
698,㞒,xi
699,㞓,qi
700,㞔,yi
701,㞕,xie
702,㞖,ci
703,㞗,qiu
704,㞘,tun
705,㞙,niao
706,㞚,qi
707,㞛,ji
708,㞟,dian
709,㞠,lao
710,㞡,zhan
711,㞤,yin
712,㞥,cen
713,㞦,ji
714,㞧,hui
715,㞨,zai
716,㞩,lan
717,㞪,nao
718,㞫,ju
719,㞬,qin
720,㞭,dai
721,㞯,jie
722,㞰,xu
723,㞲,yong
724,㞳,dou
725,㞴,chi
726,㞶,min
727,㞷,huang
728,㞸,sui
729,㞹,ke
730,㞺,zu
731,㞻,hao
732,㞼,cheng
733,㞽,xue
734,㞾,ni
735,㞿,chi
736,㟀,lian
737,㟁,an
738,㟂,chi
739,㟃,si
740,㟄,xiang
741,㟅,yang
742,㟆,hua
743,㟇,cuo
744,㟈,qiu
745,㟉,lao
746,㟊,fu
747,㟋,dui
748,㟌,mang
749,㟍,lang
750,㟎,tuo
751,㟏,han
752,㟐,mang
753,㟑,bo
754,㟓,qi
755,㟔,han
756,㟖,long
757,㟘,tiao
758,㟙,lao
759,㟚,qi
760,㟛,zan
761,㟜,mi
762,㟝,pei
763,㟞,zhan
764,㟟,xiang
765,㟠,gang
766,㟢,qi
767,㟤,lu
768,㟦,yun
769,㟧,e
770,㟨,quan
771,㟩,min
772,㟪,wei
773,㟫,quan
774,㟬,shu
775,㟭,min
776,㟮,tu
777,㟯,e
778,㟰,ming
779,㟱,yao
780,㟲,jue
781,㟳,li
782,㟴,kuai
783,㟵,gang
784,㟶,yuan
785,㟷,da
786,㟹,lao
787,㟺,lou
788,㟻,qian
789,㟼,ao
790,㟽,biao
791,㟿,mang
792,㠀,dao
793,㠂,ao
794,㠄,xi
795,㠅,fu
796,㠇,jiu
797,㠈,run
798,㠉,tong
799,㠋,e
800,㠍,ji
801,㠎,qi
802,㠏,hua
803,㠐,jiao
804,㠑,zui
805,㠒,biao
806,㠓,meng
807,㠔,bai
808,㠕,wei
809,㠖,ji
810,㠗,ao
811,㠘,yu
812,㠙,hao
813,㠚,dui
814,㠛,wo
815,㠜,ni
816,㠝,cuan
817,㠟,li
818,㠠,lu
819,㠡,niao
820,㠢,huai
821,㠣,lai
822,㠥,lu
823,㠧,mi
824,㠨,yu
825,㠪,ju
826,㠫,gu
827,㠬,gu
828,㠭,zhan
829,㠯,yi
830,㠱,ji
831,㠲,bi
832,㠴,ren
833,㠵,huang
834,㠶,fan
835,㠷,ge
836,㠸,ku
837,㠹,jie
838,㠺,miao
839,㠽,tong
840,㠿,ci
841,㡀,bi
842,㡁,kai
843,㡂,li
844,㡄,sun
845,㡅,nuo
846,㡆,huang
847,㡇,ji
848,㡈,men
849,㡉,xian
850,㡊,qia
851,㡋,e
852,㡌,mao
853,㡏,tou
854,㡑,qiao
855,㡒,zhun
856,㡔,wu
857,㡖,chuang
858,㡗,ti
859,㡘,lian
860,㡙,bi
861,㡛,mang
862,㡜,xue
863,㡝,feng
864,㡞,lei
